key,code,instantiation-moment,heading,description,department,email-address,link
claim-01,C-0001,2022/07/25 00:00,Reclamo por envío en mal estado,El paquete llegó roto y en mal estado,Departamento de envío de Mercancías,responde@gmail.com,https://www.amazon.es
claim-02,C-0002,2022/07/25 00:00,Reclamo por envío en mal estado,El paquete llegó roto y en mal estado,Departamento de envío de Mercancías,responde@gmail.com,https://www.amazon.es
claim-03,C-9999,2022/07/25 00:00,Reclamo por envío en mal estado,El paquete llegó roto y en mal estado,Departamento de envío de Mercancías,responde@gmail.com,https://www.amazon.es
claim-04,C-9998,2022/07/25 00:00,Reclamo por envío en mal estado,El paquete llegó roto y en mal estado,Departamento de envío de Mercancías,responde@gmail.com,https://www.amazon.es
claim-05,C-0003,2022/07/29 23:59,Reclamo por envío en mal estado,El paquete llegó roto y en mal estado,Departamento de envío de Mercancías,responde@gmail.com,https://www.amazon.es
claim-06,C-0004,2022/07/29 22:00,Reclamo por envío en mal estado,El paquete llegó roto y en mal estado,Departamento de envío de Mercancías,responde@gmail.com,https://www.amazon.es
claim-07,C-0005,2001/07/25 00:00,Reclamo por envío en mal estado,El paquete llegó roto y en mal estado,Departamento de envío de Mercancías,responde@gmail.com,https://www.amazon.es
claim-08,C-0006,2001/07/25 01:00,Reclamo por envío en mal estado,El paquete llegó roto y en mal estado,Departamento de envío de Mercancías,responde@gmail.com,https://www.amazon.es
claim-09,C-0007,2012/07/25 00:00,Reclamo por envío en mal estado,El paquete llegó roto y en mal estado,Departamento de envío de Mercancías,responde@gmail.com,https://www.amazon.es
claim-10,C-0008,2022/07/25 00:00,Esta cabecera pretende superar el máximo de caracteres y parece que lo hace,El paquete llegó roto y en mal estado,Departamento de envío de Mercancías,responde@gmail.com,https://www.amazon.es
claim-11,C-0009,2022/07/25 00:00,Esta cabecera pretende superar el máximo de caracteres y parece que lo hac,El paquete llegó roto y en mal estado,Departamento de envío de Mercancías,responde@gmail.com,https://www.amazon.es
claim-12,C-0010,2022/07/25 00:00,E,El paquete llegó roto y en mal estado,Departamento de envío de Mercancías,responde@gmail.com,https://www.amazon.es
claim-13,C-0011,2022/07/25 00:00,Es,El paquete llegó roto y en mal estado,Departamento de envío de Mercancías,responde@gmail.com,https://www.amazon.es
claim-14,C-0012,2022/07/25 00:00,내 이름은 페페이고 나야,El paquete llegó roto y en mal estado,Departamento de envío de Mercancías,responde@gmail.com,https://www.amazon.es
claim-15,C-0013,2022/07/25 00:00,Réclamo!porenv1io en mal est0d0@@#,El paquete llegó roto y en mal estado,Departamento de envío de Mercancías,responde@gmail.com,https://www.amazon.es
claim-16,C-0014,2022/07/25 00:00,La cabecera quiere estar al medio y no mojarse,El paquete llegó roto y en mal estado,Departamento de envío de Mercancías,responde@gmail.com,https://www.amazon.es
claim-17,C-0015,2022/07/25 00:00,Reclamo por envío en mal estado,No se que decir realmente solo quiero superar el maximo de caracteres en esta ocasión la verdad!!!!!,Departamento de envío de Mercancías,responde@gmail.com,https://www.amazon.es
claim-18,C-0016,2022/07/25 00:00,Reclamo por envío en mal estado,No se que decir realmente solo quiero superar el maximo de caracteres en esta ocasión la verdad!!!!,Departamento de envío de Mercancías,responde@gmail.com,https://www.amazon.es
claim-19,C-0017,2022/07/25 00:00,Reclamo por envío en mal estado,N,Departamento de envío de Mercancías,responde@gmail.com,https://www.amazon.es
claim-20,C-0018,2022/07/25 00:00,Reclamo por envío en mal estado,No,Departamento de envío de Mercancías,responde@gmail.com,https://www.amazon.es
claim-21,C-0019,2022/07/25 00:00,Reclamo por envío en mal estado,जागृत्य कृपया एतां अन्यभाषा इति मन्यताम्,Departamento de envío de Mercancías,responde@gmail.com,https://www.amazon.es
claim-22,C-0020,2022/07/25 00:00,Reclamo por envío en mal estado,L4 v3rd@#d que 3sty0 me ha 247fases!!´`^+s,Departamento de envío de Mercancías,responde@gmail.com,https://www.amazon.es
claim-23,C-0021,2022/07/25 00:00,Reclamo por envío en mal estado,El paquete llegó roto y en mal estado,El departamento más largo del mundo del mundo mundial que se ha visto en toda la historia española!!,responde@gmail.com,https://www.amazon.es
claim-24,C-0022,2022/07/25 00:00,Reclamo por envío en mal estado,El paquete llegó roto y en mal estado,El departamento más largo del mundo del mundo mundial que se ha visto en toda la historia española!,responde@gmail.com,https://www.amazon.es
claim-25,C-0023,2022/07/25 00:00,Reclamo por envío en mal estado,El paquete llegó roto y en mal estado,E,responde@gmail.com,https://www.amazon.es
claim-26,C-0024,2022/07/25 00:00,Reclamo por envío en mal estado,El paquete llegó roto y en mal estado,El,responde@gmail.com,https://www.amazon.es
claim-27,C-0025,2022/07/25 00:00,Reclamo por envío en mal estado,El paquete llegó roto y en mal estado,Відділ відвантаження товарів,responde@gmail.com,https://www.amazon.es
claim-28,C-0026,2022/07/25 00:00,Reclamo por envío en mal estado,El paquete llegó roto y en mal estado,D#@2pa45tmaie<9 de m34dñanci24s,responde@gmail.com,https://www.amazon.es
claim-29,C-0027,2022/07/25 00:00,Reclamo por envío en mal estado,El paquete llegó roto y en mal estado,Departamento de envío de Mercancías,пакіто@пакіто.com,https://www.amazon.es
claim-30,C-0028,2022/07/25 00:00,Reclamo por envío en mal estado,El paquete llegó roto y en mal estado,Departamento de envío de Mercancías,121ksmail@gmail.com,https://www.amazon.es
claim-31,C-0029,2022/07/25 00:00,Reclamo por envío en mal estado,El paquete llegó roto y en mal estado,Departamento de envío de Mercancías,elmailmaslargodelmundoestoesinaguantablesacadmedeaqui@gmail.com,https://www.amazon.es
